assignment_id	assignment_name	assignment_description	course_name	course_code	duedate	gradingduedate	max_grade	timemodified	completionsubmit	requiresubmissionstatement	teamsubmission	maxattempts	total_submissions	submitted_count	unique_students	graded_count	average_grade	highest_grade	lowest_grade
9381	Final Exam		 Blueprint 3 (A2, Pre-Intermediate)	MODEL-Blueprint-3	0	0	100	1726284502	1	0	0	1	0	0	0	0	NULL	NULL	NULL
9378	Midterm Exam		 Blueprint 3 (A2, Pre-Intermediate)	MODEL-Blueprint-3	0	0	100	1726284257	1	0	0	1	0	0	0	0	NULL	NULL	NULL
5036	Homework 1		ACCT-300 Cost Acctg	ACCT-300-2021-2022T1	1659607200	1660150800	100	1659001292	1	0	0	1	34	0	34	0	NULL	NULL	NULL
5219	Homework 3		ACCT-300 Cost Acctg	ACCT-300-2021-2022T1	1662422400	1663002000	100	1661817056	1	0	0	1	25	0	25	0	NULL	NULL	NULL
5460	Homework 4		ACCT-300 Cost Acctg	ACCT-300-2021-2022T1	1664379600	1664902800	100	1663774388	1	0	0	1	27	0	27	0	NULL	NULL	NULL
5512	Homework 6		ACCT-300 Cost Acctg	ACCT-300-2021-2022T1	1665504000	1666026000	100	1665322926	1	0	0	1	29	0	29	0	NULL	NULL	NULL
1662	Final Exam		ACCT-310-2020-2021T1 Acctg Principles I	ACCT-310-2020-2021T1	1615777200	1616778000	100	1615596248	1	0	0	1	65	44	65	63	52.290322580	100.00000	0.00000
1332	Homework 1	<p dir="ltr" style="text-align: left;">Hand writing and PDF file, please. Good luck.</p>	ACCT-310-2020-2021T1 Acctg Principles I	ACCT-310-2020-2021T1	1611032340	1611594000	100	1610412698	1	0	0	1	66	44	66	63	51.222222222	100.00000	0.00000
1416	Homework 2		ACCT-310-2020-2021T1 Acctg Principles I	ACCT-310-2020-2021T1	1612112340	1612717200	100	1611569087	1	0	0	1	66	43	66	63	56.661290322	100.00000	0.00000
1475	Homework 3		ACCT-310-2020-2021T1 Acctg Principles I	ACCT-310-2020-2021T1	1612976340	1613840400	100	1612684215	1	0	0	1	66	41	66	63	49.682539682	100.00000	0.00000
1583	Homework 4		ACCT-310-2020-2021T1 Acctg Principles I	ACCT-310-2020-2021T1	1614790740	1615654800	100	1614468328	1	0	0	1	66	42	66	63	59.126984126	100.00000	0.00000
1623	Homework 5		ACCT-310-2020-2021T1 Acctg Principles I	ACCT-310-2020-2021T1	1615395540	1616173200	100	1615045808	1	0	0	1	65	42	65	63	55.142857142	100.00000	0.00000
1547	Midterm		ACCT-310-2020-2021T1 Acctg Principles I	ACCT-310-2020-2021T1	1613696400	1614618000	100	1613485130	1	0	0	1	66	44	66	63	58.761904761	100.00000	0.00000
397	Final paper	<p>You can select one exercise from chapter 9 and one exercise from chapter 10 by yourself. Each exercise must have at least two questions.</p><p>Good luck!<br></p>	ACCT-312 Accounting II	ACCT-312-2019-2020T3	1597165200	1597942800	100	1596774308	1	0	0	1	3	2	3	2	NULL	-1.00000	NULL
281	HW_Chapter 09	<p>Exercise 9-9 \n(page 383), Exercise 9-16 \n(page 384), Problem 9-1A \n(page 384)<br><br><br><br></p>	ACCT-312 Accounting II	ACCT-312-2019-2020T3	1593622800	1594227600	100	1593080168	1	1	0	1	3	0	3	2	NULL	-1.00000	NULL
1137	Final Exam		ACCT-312 Acctg II	ACCT-312-2019-2020T1	1607835540	1608051600	100	1607508251	1	0	0	1	47	42	47	45	83.422222222	100.00000	0.00000
1143	Final Extra		ACCT-312 Acctg II	ACCT-312-2019-2020T1	1607767200	1608829200	100	1607675079	1	0	0	1	46	34	46	45	35.222222222	100.00000	0.00000
1003	Homework 10		ACCT-312 Acctg II	ACCT-312-2019-2020T1	1606021140	1606669200	100	1605518630	1	0	0	1	47	42	47	45	80.250000000	100.00000	0.00000
5415	Homework 10		ACCT-312 Acctg II	ACCT-312-2021-2022T1	1663905600	1664470800	100	1663299162	1	0	0	1	25	0	25	0	NULL	NULL	NULL
5506	Homework 11		ACCT-312 Acctg II	ACCT-312-2021-2022T1	1665396000	1665939600	100	1664790772	1	0	0	1	25	0	25	0	NULL	NULL	NULL
1098	Homework 12		ACCT-312 Acctg II	ACCT-312-2019-2020T1	1607403540	1608224400	100	1607069110	1	0	0	1	46	40	46	45	57.925000000	100.00000	10.00000
5518	Homework 12		ACCT-312 Acctg II	ACCT-312-2021-2022T1	1665588660	1666112400	100	1664983822	1	0	0	1	25	0	25	0	NULL	NULL	NULL
5066	Homework 7		ACCT-312 Acctg II	ACCT-312-2021-2022T1	1659675600	1660237200	100	1659070782	1	0	0	1	30	0	30	0	NULL	NULL	NULL
5138	Homework 8		ACCT-312 Acctg II	ACCT-312-2021-2022T1	1661083200	1661619600	100	1660477709	1	0	0	1	28	0	28	0	NULL	NULL	NULL
5204	Homework 9		ACCT-312 Acctg II	ACCT-312-2021-2022T1	1662051600	1662656400	100	1661527379	1	0	0	1	27	0	27	0	NULL	NULL	NULL
2379	Final Exam		ACCT-312-2021T2T2 Acctg II	ACCT-312-2021T2T2	1624788000	1625763600	100	1624602794	1	0	0	1	40	36	40	36	87.777777777	100.00000	70.00000
2113	Homework 10		ACCT-312-2021T2T2 Acctg II	ACCT-312-2021T2T2	1621929600	1622739600	100	1621581057	1	0	0	1	40	36	40	36	87.500000000	100.00000	50.00000
2229	Homework 11		ACCT-312-2021T2T2 Acctg II	ACCT-312-2021T2T2	1623117600	1624035600	100	1622857216	1	0	0	1	38	34	38	34	100.000000000	100.00000	100.00000
2301	Homework 12		ACCT-312-2021T2T2 Acctg II	ACCT-312-2021T2T2	1624258800	1625072400	100	1623904808	1	0	0	1	41	34	41	34	82.161290322	100.00000	0.00000
1771	Homework 7		ACCT-312-2021T2T2 Acctg II	ACCT-312-2021T2T2	1618275600	1618851600	100	1617721410	1	0	0	1	45	36	45	36	91.361111111	100.00000	60.00000
1858	Homework 8		ACCT-312-2021T2T2 Acctg II	ACCT-312-2021T2T2	1619532000	1620147600	100	1619013192	1	0	0	1	40	36	40	36	86.388888888	100.00000	50.00000
1984	Homework 9		ACCT-312-2021T2T2 Acctg II	ACCT-312-2021T2T2	1620522000	1621443600	100	1620308832	1	0	0	1	38	34	38	34	71.617647058	100.00000	0.00000
2053	Midterm Exam		ACCT-312-2021T2T2 Acctg II	ACCT-312-2021T2T2	1621002600	1621962000	100	1620829489	1	0	0	1	40	37	40	37	91.162162162	100.00000	50.00000
1668	Final Exam		ACCT-313-2020-2021T1 Acctg Principles III	ACCT-313-2020-2021T1	1615813200	1616778000	100	1615637736	1	0	0	1	21	19	21	19	86.315789473	100.00000	0.00000
1317	Homework 13		ACCT-313-2020-2021T1 Acctg Principles III	ACCT-313-2020-2021T1	1610945940	1611507600	100	1610358429	1	0	0	1	21	19	21	19	81.421052631	100.00000	40.00000
1392	Homework 14	<p dir="ltr" style="text-align: left;">Handwriting, please.</p>	ACCT-313-2020-2021T1 Acctg Principles III	ACCT-313-2020-2021T1	1611939540	1614445200	100	1611759891	1	0	0	1	22	19	22	19	92.473684210	100.00000	50.00000
1478	Homework 15		ACCT-313-2020-2021T1 Acctg Principles III	ACCT-313-2020-2021T1	1613235540	1613840400	100	1612685180	1	0	0	1	21	18	21	19	96.222222222	100.00000	79.00000
1577	Homework 16		ACCT-313-2020-2021T1 Acctg Principles III	ACCT-313-2020-2021T1	1614661140	1615482000	100	1614332986	1	0	0	1	21	18	21	18	90.000000000	100.00000	60.00000
1523	Midterm		ACCT-313-2020-2021T1 Acctg Principles III	ACCT-313-2020-2021T1	1613383200	1614358800	100	1613203110	1	0	0	1	21	19	21	19	81.421052631	100.00000	24.00000
